dia(1)	hora(1)	gyroX	gyroY	gyroZ	accelX	accelY	accelZ	roll	pitch	yaw	dir	gpsLong	gpsLat	altime	motores(4)	motores(4)	motores(4)	motores(4)
2019-04-18	11:45:39	89.84375	-33.21075439453125	-218.74237060546875	0.012451171875	-0.047607421875	1.059326171875	1.917	1.805	-2.488	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:39	21.484375	5.859375	-169.9066162109375	-0.00390625	0.011474609375	1.059814453125	1.576	1.692	-10.032	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:40	15.625	5.859375	-136.7034912109375	0.076904296875	0.02978515625	1.056884765625	1.115	1.893	-22.521	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:40	17.578125	19.53125	113.2965087890625	0.020751953125	0.030517578125	1.05859375	0.898	1.882	-32.922	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:41	21.484375	9.765625	-107.41424560546875	0.04150390625	0.009521484375	1.0625	0.762	1.685	-40.841	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:42	23.4375	9.765625	56.6558837890625	0.045166015625	0.024658203125	1.068115234375	0.631	1.589	-50.729	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:42	3.90625	-1.96075439453125	177.734375	0.02880859375	0.005126953125	1.054443359375	0.393	1.542	-53.743	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:43	17.578125	7.8125	-191.3909912109375	0.047607421875	0.03076171875	1.056396484375	0.598	1.195	-61.609	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:43	23.4375	11.71875	242.218017578125	0.029296875	-0.046142578125	1.0615234375	-0.114	1.177	-86.564	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:44	27.34375	13.671875	101.5777587890625	0.0009765625	0.008056640625	1.0625	0.127	0.718	78.621	E	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:44	35.15625	7.8125	70.32012939453125	0.00341796875	0.01171875	1.057373046875	0.617	0.53	71.063	E	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:45	-9.77325439453125	11.71875	-154.2510986328125	-0.185302734375	0.0703125	1.066162109375	0.919	0.577	60.445	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:45	21.484375	15.625	1.953125	0.007080078125	0.0146484375	1.049560546875	1.097	0.156	60.016	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:46	64.453125	58.59375	166.00799560546875	0.0400390625	0.019775390625	1.044921875	1.321	-0.036	62.429	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:47	3.90625	-3.91387939453125	80.078125	0.00732421875	0.007080078125	1.0556640625	0.971	-0.059	65.6	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:47	91.796875	46.875	-249.969482421875	-0.017333984375	0.01904296875	1.05517578125	1.121	0.178	61.553	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:48	19.53125	5.859375	17.5933837890625	0.017578125	0.0322265625	1.060302734375	1.535	0.401	46.647	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:48	17.578125	9.765625	-39.05487060546875	-0.001220703125	0.02392578125	1.062744140625	1.482	0.736	32.251	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:49	25.390625	19.53125	-167.97637939453125	0.000732421875	0.024658203125	1.059814453125	1.75	0.423	31.068	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:45:49	33.203125	0.0	-111.36627197265625	-0.017333984375	0.015625	1.05810546875	1.893	-0.702	44.66	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
